Name,INJ_1,INJ_2,INJ_3,INJ_4,INJ_5,INJ_6,INJ_7,INJ_8,INJ_9,INJ_10,INJ_11,INJ_12,INJ_13,INJ_14,INJ_15,INJ_16,Team,Year
Marcus Easley,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Bills,2017
IK Enemkpali,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Bills,2017
Jerome Felton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bills,2017
Mike Gillislee,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Bills,2017
Stephon Gilmore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Bills,2017
Cordy Glenn,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,Bills,2017
Marquise Goodwin,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Bills,2017
Chris Gragg,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Bills,2017
Ryan Groy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bills,2017
Percy Harvin,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,Bills,2017
Seantrel Henderson,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Bills,2017
Jerry Hughes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bills,2017
Justin Hunter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bills,2017
James Ihedigbo,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,Bills,2017
Randell Johnson,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,Bills,2017
Cardale Jones,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Bills,2017
Cyrus Kouandjio,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Bills,2017
Shaq Lawson,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,Bills,2017
Patrick Lewis,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Bills,2017
Kolby Listenbee,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Bills,2017
LeSean McCoy,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Bills,2017
Lerentee McCray,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,Bills,2017
Jonathan Meeks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bills,2017
John Miller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bills,2017
Walt Powell,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,Bills,2017
Reggie Ragland,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Bills,2017
Greg Salas,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Bills,2017
Colton Schmidt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bills,2017
Kevon Seymour,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bills,2017
Sammy Watkins,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,Bills,2017
Corey White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bills,2017
James Wilder,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Bills,2017
Aaron Williams,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,Bills,2017
Jonathan Williams,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bills,2017
Kyle Williams,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Bills,2017
Eric Wood,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,Bills,2017
Robert Woods,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Bills,2017
Jerel Worthy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Bills,2017
Kamar Aiken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ravens,2017
Javorius Allen,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Ravens,2017
Kyle Arrington,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Ravens,2017
Michael Campanaro,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,Ravens,2017
Maurice Canady,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,Ravens,2017
Kaelin Clay,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Ravens,2017
Kamalei Correa,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,Ravens,2017
Carl Davis,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Ravens,2017
Kenneth Dixon,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Ravens,2017
Elvis Dumervil,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,Ravens,2017
Matt Elam,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,Ravens,2017
Crockett Gillmore,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,Ravens,2017
Willie Henry,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,Ravens,2017
Devin Hester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ravens,2017
Timmy Jernigan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ravens,2017
Bronson Kaufusi,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Ravens,2017
Alex Lewis,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,Ravens,2017
Kendrick Lewis,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,Ravens,2017
Cavellis Luckett,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Ravens,2017
Chris Matthews,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Ravens,2017
C.J. Mosley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ravens,2017
Stephane Nembot,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Ravens,2017
Zach Orr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Ravens,2017
Breshad Perriman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ravens,2017
Dennis Pitta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ravens,2017
Jerraud Powers,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ravens,2017
Sheldon Price,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,Ravens,2017
Jumal Rolle,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Ravens,2017
Jimmy Smith,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,Ravens,2017
Steve Smith,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ravens,2017
Za'Darius Smith,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ravens,2017
Ronnie Stanley,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Ravens,2017
Terrell Suggs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ravens,2017
Lorenzo Taliaferro,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,Ravens,2017
John Urschel,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Ravens,2017
Ricky Wagner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Ravens,2017
Ben Watson,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Ravens,2017
Lardarius Webb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ravens,2017
De'Ondre Wesley,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Ravens,2017
Brandon Williams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ravens,2017
Maxx Williams,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,Ravens,2017
Shareece Wright,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,Ravens,2017
Marshal Yanda,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Ravens,2017
Tavon Young,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ravens,2017
Chris Boswell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Steelers,2017
Anthony Chickillo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Steelers,2017
Jordan Dangerfield,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Steelers,2017
Bud Dupree,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,Steelers,2017
Ramon Foster,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Steelers,2017
William Gay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Steelers,2017
Justin Gilbert,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Steelers,2017
Marcus Gilbert,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Steelers,2017
Robert Golden,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,Steelers,2017
Senquez Golson,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Steelers,2017
Bruce Gradkowski,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Steelers,2017
Ladarius Green,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,Steelers,2017
Xavier Grimble,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,Steelers,2017
Javon Hargrave,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Steelers,2017
Ryan Harris,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,Steelers,2017
James Harrison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Steelers,2017
Jerald Hawkins,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Steelers,2017
Cameron Heyward,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,Steelers,2017
Darrius Heyward-Bey,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,Steelers,2017
Steven Johnson,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,Steelers,2017
Cole Manhart,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Steelers,2017
Ricardo Mathews,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Steelers,2017
Roosevelt Nix,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,Steelers,2017
Ben Roethlisberger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Steelers,2017
Eli Rogers,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Steelers,2017
Ryan Shazier,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Steelers,2017
Shamarko Thomas,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,Steelers,2017
Fitzgerald Toussaint,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Steelers,2017
Stephon Tuitt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Steelers,2017
Valerian Ume-Ezeoke,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Steelers,2017
Cody Wallace,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,Steelers,2017
Markus Wheaton,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,Steelers,2017
DeAngelo Williams,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,Steelers,2017
Dominique Alexander,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Browns,2017
Joel Bitonio,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,Browns,2017
Marcus Burley,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Browns,2017
Ibraheim Campbell,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Browns,2017
Tank Carder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Browns,2017
Corey Coleman,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,Browns,2017
Seth Devalve,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Browns,2017
Cameron Erving,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,Browns,2017
John Greco,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,Browns,2017
Robert Griffin,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,Browns,2017
Joe Haden,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Browns,2017
Rannell Hall,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Browns,2017
Cam Johnson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Browns,2017
Cody Kessler,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,Browns,2017
Derrick Kindred,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,Browns,2017
Nile Lawrence-Stample,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Browns,2017
Ricardo Louis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Browns,2017
Josh McCown,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,Browns,2017
Patrick Murray,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Browns,2017
Carl Nassib,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Browns,2017
Rajion Neal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Browns,2017
Nate Orchard,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Browns,2017
Dennis Parks,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Browns,2017
Jordan Poyer,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,Browns,2017
Austin Reiter,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,Browns,2017
Ed Reynolds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Browns,2017
Jamar Taylor,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Browns,2017
Randall Telfer,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Browns,2017
Tramon Williams,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,Browns,2017
Glenn Winston,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Browns,2017
Dylan Wynn,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Browns,2017
Giovani Bernard,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,Bengals,2017
Andrew Billings,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Bengals,2017
Clint Boling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Bengals,2017
Chykie Brown,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,Bengals,2017
Vontaze Burfict,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Bengals,2017
Rex Burkhead,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bengals,2017
Darqueze Dennard,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bengals,2017
Tyler Eifert,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,Bengals,2017
