Team,Home,Win,Opp,Diff,Game,Year,Week
Packers,1,,Bengals,,3,2018,3
Packers,1,,Bears,,4,2018,4
Packers,0,,Cowboys,,5,2018,5
Packers,0,,Vikings,,6,2018,6
Packers,1,,Saints,,7,2018,7
Packers,1,,Lions,,8,2018,9
Packers,0,,Bears,,9,2018,10
Packers,1,,Ravens,,10,2018,11
Packers,0,,Steelers,,11,2018,12
Packers,1,,Buccaneers,,12,2018,13
Packers,0,,Browns,,13,2018,14
Packers,0,,Panthers,,14,2018,15
Packers,1,,Vikings,,15,2018,16
Packers,0,,Lions,,16,2018,17
Panthers,0,,49ers,,1,2018,1
Panthers,1,,Bills,,2,2018,2
Panthers,1,,Saints,,3,2018,3
Panthers,0,,Patriots,,4,2018,4
Panthers,0,,Lions,,5,2018,5
Panthers,1,,Eagles,,6,2018,6
Panthers,0,,Bears,,7,2018,7
Panthers,0,,Buccaneers,,8,2018,8
Panthers,1,,Falcons,,9,2018,9
Panthers,1,,Dolphins,,10,2018,10
Panthers,0,,Jets,,11,2018,12
Panthers,0,,Saints,,12,2018,13
Panthers,1,,Vikings,,13,2018,14
Panthers,1,,Packers,,14,2018,15
Panthers,1,,Buccaneers,,15,2018,16
Panthers,0,,Falcons,,16,2018,17
Patriots,1,,Chiefs,,1,2018,1
Patriots,0,,Saints,,2,2018,2
Patriots,1,,Texans,,3,2018,3
Patriots,1,,Panthers,,4,2018,4
Patriots,0,,Buccaneers,,5,2018,5
Patriots,0,,Jets,,6,2018,6
Patriots,1,,Falcons,,7,2018,7
Patriots,1,,Chargers,,8,2018,8
Patriots,0,,Broncos,,9,2018,10
Patriots,0,,Raiders,,10,2018,11
Patriots,1,,Dolphins,,11,2018,12
Patriots,0,,Bills,,12,2018,13
Patriots,0,,Dolphins,,13,2018,14
Patriots,0,,Steelers,,14,2018,15
Patriots,1,,Bills,,15,2018,16
Patriots,1,,Jets,,16,2018,17
Raiders,0,,Titans,,1,2018,1
Raiders,1,,Jets,,2,2018,2
Raiders,0,,Redskins,,3,2018,3
Raiders,0,,Broncos,,4,2018,4
Raiders,1,,Ravens,,5,2018,5
Raiders,1,,Chargers,,6,2018,6
Raiders,1,,Chiefs,,7,2018,7
Raiders,0,,Bills,,8,2018,8
Raiders,0,,Dolphins,,9,2018,9
Raiders,1,,Patriots,,10,2018,11
Raiders,1,,Broncos,,11,2018,12
Raiders,1,,Giants,,12,2018,13
Raiders,0,,Chiefs,,13,2018,14
Raiders,1,,Cowboys,,14,2018,15
Raiders,0,,Eagles,,15,2018,16
Raiders,0,,Chargers,,16,2018,17
Rams,1,,Colts,,1,2018,1
Rams,1,,Redskins,,2,2018,2
Rams,0,,49ers,,3,2018,3
Rams,0,,Cowboys,,4,2018,4
Rams,1,,Seahawks,,5,2018,5
Rams,0,,Jaguars,,6,2018,6
Rams,1,,Cardinals,,7,2018,7
Rams,0,,Giants,,8,2018,9
Rams,1,,Texans,,9,2018,10
Rams,0,,Vikings,,10,2018,11
Rams,1,,Saints,,11,2018,12
Rams,0,,Cardinals,,12,2018,13
Rams,1,,Eagles,,13,2018,14
Rams,0,,Seahawks,,14,2018,15
Rams,0,,Titans,,15,2018,16
Rams,1,,49ers,,16,2018,17
Ravens,0,,Bengals,,1,2018,1
Ravens,1,,Browns,,2,2018,2
Ravens,0,,Jaguars,,3,2018,3
Ravens,1,,Steelers,,4,2018,4
Ravens,0,,Raiders,,5,2018,5
Ravens,1,,Bears,,6,2018,6
Ravens,0,,Vikings,,7,2018,7
Ravens,1,,Dolphins,,8,2018,8
Ravens,0,,Titans,,9,2018,9
Ravens,0,,Packers,,10,2018,11
Ravens,1,,Texans,,11,2018,12
Ravens,1,,Lions,,12,2018,13
Ravens,0,,Steelers,,13,2018,14
Ravens,0,,Browns,,14,2018,15
Ravens,1,,Colts,,15,2018,16
Ravens,1,,Bengals,,16,2018,17
Redskins,1,,Eagles,,1,2018,1
Redskins,0,,Rams,,2,2018,2
Redskins,1,,Raiders,,3,2018,3
Redskins,0,,Chiefs,,4,2018,4
Redskins,1,,49ers,,5,2018,6
Redskins,0,,Eagles,,6,2018,7
Redskins,1,,Cowboys,,7,2018,8
Redskins,0,,Seahawks,,8,2018,9
Redskins,1,,Vikings,,9,2018,10
Redskins,0,,Saints,,10,2018,11
Redskins,1,,Giants,,11,2018,12
Redskins,0,,Cowboys,,12,2018,13
Redskins,0,,Chargers,,13,2018,14
Redskins,1,,Cardinals,,14,2018,15
Redskins,1,,Broncos,,15,2018,16
Redskins,0,,Giants,,16,2018,17
Saints,0,,Vikings,,1,2018,1
Saints,1,,Patriots,,2,2018,2
Saints,0,,Panthers,,3,2018,3
Saints,0,,Dolphins,,4,2018,4
Saints,1,,Lions,,5,2018,6
Saints,0,,Packers,,6,2018,7
Saints,1,,Bears,,7,2018,8
Saints,1,,Buccaneers,,8,2018,9
Saints,0,,Bills,,9,2018,10
Saints,1,,Redskins,,10,2018,11
Saints,0,,Rams,,11,2018,12
Saints,1,,Panthers,,12,2018,13
Saints,0,,Falcons,,13,2018,14
Saints,1,,Jets,,14,2018,15
Saints,1,,Falcons,,15,2018,16
Saints,0,,Buccaneers,,16,2018,17
Seahawks,0,,Packers,,1,2018,1
Seahawks,1,,49ers,,2,2018,2
Seahawks,0,,Titans,,3,2018,3
Seahawks,1,,Colts,,4,2018,4
Seahawks,0,,Rams,,5,2018,5
Seahawks,0,,Giants,,6,2018,7
Seahawks,1,,Texans,,7,2018,8
Seahawks,1,,Redskins,,8,2018,9
Seahawks,0,,Cardinals,,9,2018,10
Seahawks,1,,Falcons,,10,2018,11
Seahawks,0,,49ers,,11,2018,12
Seahawks,1,,Eagles,,12,2018,13
Seahawks,0,,Jaguars,,13,2018,14
Seahawks,1,,Rams,,14,2018,15
Seahawks,0,,Cowboys,,15,2018,16
Seahawks,1,,Cardinals,,16,2018,17
Steelers,0,,Browns,,1,2018,1
Steelers,1,,Vikings,,2,2018,2
Steelers,0,,Bears,,3,2018,3
Steelers,0,,Ravens,,4,2018,4
Steelers,1,,Jaguars,,5,2018,5
Steelers,0,,Chiefs,,6,2018,6
Steelers,1,,Bengals,,7,2018,7
Steelers,0,,Lions,,8,2018,8
Steelers,0,,Colts,,9,2018,10
Steelers,1,,Titans,,10,2018,11
Steelers,1,,Packers,,11,2018,12
Steelers,0,,Bengals,,12,2018,13
Steelers,1,,Ravens,,13,2018,14
Steelers,1,,Patriots,,14,2018,15
Steelers,0,,Texans,,15,2018,16
Steelers,1,,Browns,,16,2018,17
Texans,1,,Jaguars,,1,2018,1
Texans,0,,Bengals,,2,2018,2
Texans,0,,Patriots,,3,2018,3
Texans,1,,Titans,,4,2018,4
Texans,1,,Chiefs,,5,2018,5
Texans,1,,Browns,,6,2018,6
Texans,0,,Seahawks,,7,2018,8
Texans,1,,Colts,,8,2018,9
Texans,0,,Rams,,9,2018,10
Texans,1,,Cardinals,,10,2018,11
Texans,0,,Ravens,,11,2018,12
Texans,0,,Titans,,12,2018,13
Texans,1,,49ers,,13,2018,14
Texans,0,,Jaguars,,14,2018,15
Texans,1,,Steelers,,15,2018,16
Texans,0,,Colts,,16,2018,17
Titans,1,,Raiders,,1,2018,1
Titans,0,,Jaguars,,2,2018,2
Titans,1,,Seahawks,,3,2018,3
Titans,0,,Texans,,4,2018,4
Titans,0,,Dolphins,,5,2018,5
Titans,1,,Colts,,6,2018,6
Titans,0,,Browns,,7,2018,7
Titans,1,,Ravens,,8,2018,9
Titans,1,,Bengals,,9,2018,10
Titans,0,,Steelers,,10,2018,11
Titans,0,,Colts,,11,2018,12
Titans,1,,Texans,,12,2018,13
Titans,0,,Cardinals,,13,2018,14
Titans,0,,49ers,,14,2018,15
Titans,1,,Rams,,15,2018,16
Titans,1,,Jaguars,,16,2018,17
Vikings,1,,Saints,,1,2018,1
Vikings,0,,Steelers,,2,2018,2
Vikings,1,,Buccaneers,,3,2018,3
Vikings,1,,Lions,,4,2018,4
Vikings,0,,Bears,,5,2018,5
Vikings,1,,Packers,,6,2018,6
Vikings,1,,Ravens,,7,2018,7
Vikings,0,,Browns,,8,2018,8
Vikings,0,,Redskins,,9,2018,10
Vikings,1,,Rams,,10,2018,11
Vikings,0,,Lions,,11,2018,12
Vikings,0,,Falcons,,12,2018,13
Vikings,0,,Panthers,,13,2018,14
Vikings,1,,Bengals,,14,2018,15
Vikings,0,,Packers,,15,2018,16
Vikings,1,,Bears,,16,2018,17
49ers,1,1,Rams,28,1,2017,1
49ers,0,0,Panthers,-19,2,2017,2
49ers,0,0,Seahawks,-19,3,2017,3
49ers,1,0,Cowboys,-7,4,2017,4
49ers,1,0,Cardinals,-12,5,2017,5
49ers,0,0,Bills,-29,6,2017,6
49ers,1,0,Buccaneers,-17,7,2017,7
49ers,1,0,Saints,-18,8,2017,9
49ers,0,0,Cardinals,-3,9,2017,10
49ers,1,0,Patriots,-13,10,2017,11
49ers,0,0,Dolphins,-7,11,2017,12
49ers,0,0,Bears,-20,12,2017,13
49ers,1,0,Jets,-6,13,2017,14
49ers,0,0,Falcons,-28,14,2017,15
49ers,0,1,Rams,1,15,2017,16
49ers,1,0,Seahawks,-2,16,2017,17
Bears,0,0,Texans,-9,1,2017,1
Bears,1,0,Eagles,-15,2,2017,2
Bears,0,0,Cowboys,-14,3,2017,3
Bears,1,1,Lions,3,4,2017,4
Bears,0,0,Colts,-6,5,2017,5
Bears,1,0,Jaguars,-1,6,2017,6
Bears,0,0,Packers,-16,7,2017,7
Bears,1,1,Vikings,10,8,2017,8
Bears,0,0,Buccaneers,-26,9,2017,10
Bears,0,0,Giants,-6,10,2017,11
Bears,1,0,Titans,-6,11,2017,12
Bears,1,1,49ers,20,12,2017,13
Bears,0,0,Lions,-3,13,2017,14
Bears,1,0,Packers,-3,14,2017,15
Bears,1,0,Redskins,-20,15,2017,16
Bears,0,0,Vikings,-28,16,2017,17
Bengals,0,1,Jets,1,1,2017,1
Bengals,0,0,Steelers,-8,2,2017,2
Bengals,1,0,Broncos,-12,3,2017,3
Bengals,1,1,Dolphins,15,4,2017,4
Bengals,0,0,Cowboys,-14,5,2017,5
Bengals,0,0,Patriots,-18,6,2017,6
Bengals,1,1,Browns,14,7,2017,7
Bengals,1,0.5,Redskins,0,8,2017,8
Bengals,0,0,Giants,-1,9,2017,10
Bengals,1,0,Bills,-4,10,2017,11
Bengals,0,0,Ravens,-5,11,2017,12
Bengals,1,1,Eagles,18,12,2017,13
Bengals,0,1,Browns,13,13,2017,14
Bengals,1,0,Steelers,-4,14,2017,15
Bengals,0,0,Texans,-2,15,2017,16
Bengals,1,1,Ravens,17,16,2017,17
Bills,0,0,Ravens,-6,1,2017,1
Bills,1,0,Jets,-6,2,2017,2
Bills,1,1,Cardinals,15,3,2017,3
Bills,0,1,Patriots,16,4,2017,4
Bills,0,1,Rams,11,5,2017,5
Bills,1,1,49ers,29,6,2017,6
Bills,0,0,Dolphins,-3,7,2017,7
Bills,1,0,Patriots,-16,8,2017,8
Bills,0,0,Seahawks,-6,9,2017,9
Bills,0,1,Bengals,4,10,2017,11
Bills,1,1,Jaguars,7,11,2017,12
Bills,0,0,Raiders,-14,12,2017,13
Bills,1,0,Steelers,-7,13,2017,14
Bills,1,1,Browns,20,14,2017,15
Bills,1,0,Dolphins,-3,15,2017,16
Bills,0,0,Jets,-20,16,2017,17
Broncos,1,1,Panthers,1,1,2017,1
Broncos,1,1,Colts,14,2,2017,2
Broncos,0,1,Bengals,12,3,2017,3
Broncos,0,1,Buccaneers,20,4,2017,4
Broncos,1,0,Falcons,-7,5,2017,5
Broncos,0,0,Chargers,-8,6,2017,6
Broncos,1,1,Texans,18,7,2017,7
Broncos,1,1,Chargers,8,8,2017,8
Broncos,0,0,Raiders,-10,9,2017,9
Broncos,0,1,Saints,2,10,2017,10
Broncos,1,0,Chiefs,-3,11,2017,12
Broncos,0,1,Jaguars,10,12,2017,13
Broncos,0,0,Titans,-3,13,2017,14
Broncos,1,0,Patriots,-13,14,2017,15
Broncos,0,0,Chiefs,-23,15,2017,16
Broncos,1,1,Raiders,18,16,2017,17
Browns,0,0,Eagles,-19,1,2017,1
Browns,1,0,Ravens,-5,2,2017,2
Browns,0,0,Dolphins,-6,3,2017,3
Browns,0,0,Redskins,-11,4,2017,4
Browns,1,0,Patriots,-20,5,2017,5
Browns,0,0,Titans,-2,6,2017,6
Browns,0,0,Bengals,-14,7,2017,7
Browns,1,0,Jets,-3,8,2017,8
Browns,1,0,Cowboys,-25,9,2017,9
Browns,0,0,Ravens,-21,10,2017,10
Browns,1,0,Steelers,-15,11,2017,11
Browns,1,0,Giants,-14,12,2017,12
Browns,1,0,Bengals,-13,13,2017,14
Browns,0,0,Bills,-20,14,2017,15
Browns,1,1,Chargers,3,15,2017,16
Browns,0,0,Steelers,-3,16,2017,17
Buccaneers,0,1,Falcons,7,1,2017,1
Buccaneers,0,0,Cardinals,-33,2,2017,2
Buccaneers,1,0,Rams,-5,3,2017,3
Buccaneers,1,0,Broncos,-20,4,2017,4
Buccaneers,0,1,Panthers,3,5,2017,5
Buccaneers,0,1,49ers,17,6,2017,7
Buccaneers,1,0,Raiders,-6,7,2017,8
Buccaneers,1,0,Falcons,-15,8,2017,9
Buccaneers,1,1,Bears,26,9,2017,10
Buccaneers,0,1,Chiefs,2,10,2017,11
Buccaneers,1,1,Seahawks,9,11,2017,12
Buccaneers,0,1,Chargers,7,12,2017,13
Buccaneers,1,1,Saints,5,13,2017,14
Buccaneers,0,0,Cowboys,-6,14,2017,15
Buccaneers,0,0,Saints,-7,15,2017,16
Buccaneers,1,1,Panthers,1,16,2017,17
Cardinals,1,0,Patriots,-2,1,2017,1
Cardinals,1,1,Buccaneers,33,2,2017,2
Cardinals,0,0,Bills,-15,3,2017,3
Cardinals,1,0,Rams,-4,4,2017,4
Cardinals,0,1,49ers,12,5,2017,5
Cardinals,1,1,Jets,25,6,2017,6
Cardinals,1,0.5,Seahawks,0,7,2017,7
Cardinals,0,0,Panthers,-10,8,2017,8
Cardinals,1,1,49ers,3,9,2017,10
Cardinals,0,0,Vikings,-6,10,2017,11
Cardinals,0,0,Falcons,-19,11,2017,12
Cardinals,1,1,Redskins,8,12,2017,13
Cardinals,0,0,Dolphins,-3,13,2017,14
Cardinals,1,0,Saints,-7,14,2017,15
Cardinals,0,1,Seahawks,3,15,2017,16
Cardinals,0,1,Rams,38,16,2017,17
Chargers,0,0,Chiefs,-6,1,2017,1
Chargers,1,1,Jaguars,24,2,2017,2
Chargers,0,0,Colts,-4,3,2017,3
Chargers,1,0,Saints,-1,4,2017,4
Chargers,0,0,Raiders,-3,5,2017,5
Chargers,1,1,Broncos,8,6,2017,6
Chargers,0,1,Falcons,3,7,2017,7
Chargers,0,0,Broncos,-8,8,2017,8
Chargers,1,1,Titans,8,9,2017,9
Chargers,1,0,Dolphins,-7,10,2017,10
Chargers,0,1,Texans,8,11,2017,12
Chargers,1,0,Buccaneers,-7,12,2017,13
